2026-04-20 17:25:16.409 +07:00 [INF] Family Guardian API starting...
2026-04-20 17:25:16.548 +07:00 [INF] Initialized Scheduler Signaller of type: Quartz.Core.SchedulerSignalerImpl
2026-04-20 17:25:16.550 +07:00 [INF] Quartz Scheduler created
2026-04-20 17:25:16.554 +07:00 [INF] JobFactory set to: Quartz.Simpl.MicrosoftDependencyInjectionJobFactory
2026-04-20 17:25:16.556 +07:00 [INF] RAMJobStore initialized.
2026-04-20 17:25:16.560 +07:00 [INF] Quartz Scheduler 3.18.0.0 - 'QuartzScheduler' with instanceId 'NON_CLUSTERED' initialized
2026-04-20 17:25:16.567 +07:00 [INF] Using thread pool 'Quartz.Simpl.DefaultThreadPool', size: 10
2026-04-20 17:25:16.570 +07:00 [INF] Using job store 'Quartz.Simpl.RAMJobStore', supports persistence: False, clustered: False
2026-04-20 17:25:16.587 +07:00 [INF] Adding 1 jobs, 1 triggers.
2026-04-20 17:25:16.589 +07:00 [INF] Adding job: DEFAULT.SendScheduledNotificationsJob
2026-04-20 17:25:17.983 +07:00 [INF] Scheduler QuartzScheduler_$_NON_CLUSTERED started.
2026-04-20 17:25:23.016 +07:00 [INF] GET /api/notifications → 200 (211ms)
2026-04-20 17:25:24.484 +07:00 [INF] GET /api/children → 200 (77ms)
2026-04-20 17:25:32.538 +07:00 [INF] POST /api/online-status/heartbeat → 200 (229ms)
2026-04-20 17:25:41.431 +07:00 [INF] POST /hubs/notifications/negotiate → 200 (41ms)
2026-04-20 17:25:41.430 +07:00 [INF] POST /hubs/notifications/negotiate → 200 (36ms)
2026-04-20 17:25:41.446 +07:00 [INF] POST /hubs/notifications/negotiate → 200 (6ms)
2026-04-20 17:25:41.440 +07:00 [INF] POST /hubs/notifications/negotiate → 200 (44ms)
2026-04-20 17:25:41.475 +07:00 [INF] GET /api/notifications → 200 (35ms)
2026-04-20 17:25:41.484 +07:00 [INF] POST /api/online-status/heartbeat → 200 (60ms)
2026-04-20 17:25:41.485 +07:00 [INF] POST /api/online-status/heartbeat → 200 (61ms)
2026-04-20 17:25:42.232 +07:00 [INF] User 1 connected to NotificationHub
2026-04-20 17:25:42.232 +07:00 [INF] User 1 connected to NotificationHub
2026-04-20 17:25:42.341 +07:00 [INF] Guardian 1 joined notification group
2026-04-20 17:26:11.526 +07:00 [INF] POST /api/online-status/heartbeat → 200 (182ms)
2026-04-20 17:26:11.534 +07:00 [INF] GET /api/children → 200 (13ms)
2026-04-20 17:26:13.970 +07:00 [INF] GET /api/notifications → 200 (9ms)
2026-04-20 17:26:14.524 +07:00 [INF] User 1 disconnected from NotificationHub
2026-04-20 17:26:14.527 +07:00 [INF] User 1 disconnected from NotificationHub
2026-04-20 17:26:14.537 +07:00 [INF] GET /hubs/notifications → 101 (32344ms)
2026-04-20 17:26:14.537 +07:00 [INF] GET /hubs/notifications → 101 (32419ms)
2026-04-20 17:26:14.553 +07:00 [INF] POST /hubs/notifications/negotiate → 200 (1ms)
2026-04-20 17:26:14.567 +07:00 [INF] POST /hubs/notifications/negotiate → 200 (1ms)
2026-04-20 17:26:14.572 +07:00 [INF] POST /hubs/notifications/negotiate → 200 (0ms)
2026-04-20 17:26:14.576 +07:00 [INF] User 1 connected to NotificationHub
2026-04-20 17:26:14.563 +07:00 [INF] POST /hubs/notifications/negotiate → 200 (0ms)
2026-04-20 17:26:14.590 +07:00 [INF] User 1 connected to NotificationHub
